Data;25463 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Cheque especial - % a.m.;25464 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado - % a.m.;25465 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.m.;25466 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - % a.m.;25467 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público - % a.m.;25468 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS - % a.m.;25469 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado total - % a.m.;25470 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.m.;25471 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.m.;25472 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de outros bens - % a.m.
12/2000;8,03 ;-;-;-;-;-;-;4,40 ;2,54 ;-
01/2001;8,03 ;-;-;-;-;-;-;4,38 ;2,53 ;-
02/2001;7,95 ;-;-;-;-;-;-;4,57 ;2,50 ;-
03/2001;7,89 ;-;-;-;-;-;-;4,44 ;2,45 ;-
04/2001;7,76 ;-;-;-;-;-;-;4,68 ;2,61 ;-
05/2001;7,78 ;-;-;-;-;-;-;4,63 ;2,68 ;-
06/2001;7,83 ;-;-;-;-;-;-;4,74 ;2,76 ;-
07/2001;7,94 ;-;-;-;-;-;-;4,95 ;2,96 ;-
08/2001;8,25 ;-;-;-;-;-;-;5,17 ;3,10 ;-
09/2001;8,28 ;-;-;-;-;-;-;5,32 ;3,10 ;-
10/2001;8,30 ;-;-;-;-;-;-;5,46 ;3,19 ;-
11/2001;8,30 ;-;-;-;-;-;-;5,38 ;2,87 ;-
12/2001;8,29 ;-;-;-;-;-;-;5,22 ;2,74 ;-
01/2002;8,29 ;-;-;-;-;-;-;5,25 ;2,96 ;-
02/2002;8,30 ;-;-;-;-;-;-;5,20 ;2,96 ;-
03/2002;8,27 ;-;-;-;-;-;-;5,20 ;2,89 ;-
04/2002;8,28 ;-;-;-;-;-;-;5,17 ;2,66 ;-
05/2002;8,23 ;-;-;-;-;-;-;5,12 ;2,77 ;-
06/2002;8,25 ;-;-;-;-;-;-;5,06 ;3,01 ;-
07/2002;8,24 ;-;-;-;-;-;-;5,15 ;3,46 ;-
08/2002;8,22 ;-;-;-;-;-;-;5,20 ;3,44 ;-
09/2002;8,23 ;-;-;-;-;-;-;5,28 ;3,28 ;-
10/2002;8,24 ;-;-;-;-;-;-;5,44 ;3,61 ;-
11/2002;8,32 ;-;-;-;-;-;-;5,64 ;3,72 ;-
12/2002;8,42 ;-;-;-;-;-;-;5,58 ;3,75 ;-
01/2003;8,68 ;-;-;-;-;-;-;5,74 ;3,66 ;-
02/2003;8,73 ;-;-;-;-;-;-;5,90 ;3,62 ;-
03/2003;8,89 ;-;-;-;-;-;-;5,97 ;3,63 ;-
04/2003;8,91 ;-;-;-;-;-;-;5,89 ;3,45 ;-
05/2003;8,88 ;-;-;-;-;-;-;5,86 ;3,29 ;-
06/2003;8,86 ;-;-;-;-;-;-;5,79 ;3,15 ;-
07/2003;8,76 ;-;-;-;-;-;-;5,57 ;3,02 ;-
08/2003;8,42 ;-;-;-;-;-;-;5,38 ;2,93 ;-
09/2003;8,01 ;-;-;-;-;-;-;5,21 ;2,77 ;-
10/2003;7,84 ;-;-;-;-;-;-;5,18 ;2,68 ;-
11/2003;7,81 ;-;-;-;-;-;-;5,12 ;2,63 ;-
12/2003;7,74 ;-;-;-;-;-;-;5,04 ;2,65 ;-
01/2004;7,70 ;-;-;-;-;-;2,93 ;4,97 ;2,60 ;-
02/2004;7,68 ;-;-;-;-;-;2,86 ;4,85 ;2,57 ;-
03/2004;7,64 ;-;-;-;-;-;2,86 ;4,85 ;2,54 ;-
04/2004;7,58 ;-;-;-;-;-;2,74 ;4,79 ;2,53 ;-
05/2004;7,59 ;-;-;-;-;-;2,75 ;4,66 ;2,55 ;-
06/2004;7,58 ;-;-;-;-;-;2,73 ;4,62 ;2,62 ;-
07/2004;7,57 ;-;-;-;-;-;2,71 ;4,61 ;2,60 ;-
08/2004;7,59 ;-;-;-;-;-;2,72 ;4,71 ;2,62 ;-
09/2004;7,59 ;-;-;-;-;-;2,75 ;4,72 ;2,58 ;-
10/2004;7,61 ;-;-;-;-;-;2,79 ;4,62 ;2,57 ;-
11/2004;7,64 ;-;-;-;-;-;2,71 ;4,57 ;2,57 ;-
12/2004;7,72 ;-;-;-;-;-;2,78 ;4,44 ;2,57 ;-
01/2005;7,74 ;-;-;-;-;-;2,79 ;4,58 ;2,63 ;-
02/2005;7,80 ;-;-;-;-;-;2,78 ;4,52 ;2,61 ;-
03/2005;7,79 ;-;-;-;-;-;2,76 ;4,45 ;2,64 ;-
04/2005;7,85 ;-;-;-;-;-;2,75 ;4,45 ;2,66 ;-
05/2005;7,85 ;-;-;-;-;-;2,69 ;4,52 ;2,68 ;-
06/2005;7,86 ;-;-;-;-;-;2,69 ;4,45 ;2,65 ;-
07/2005;7,86 ;-;-;-;-;-;2,68 ;4,49 ;2,60 ;-
08/2005;7,88 ;-;-;-;-;-;2,67 ;4,49 ;2,57 ;-
09/2005;7,89 ;-;-;-;-;-;2,66 ;4,55 ;2,59 ;-
10/2005;7,88 ;-;-;-;-;-;2,67 ;4,53 ;2,57 ;-
11/2005;7,90 ;-;-;-;-;-;2,65 ;4,46 ;2,53 ;-
12/2005;7,84 ;-;-;-;-;-;2,62 ;4,38 ;2,52 ;-
01/2006;7,86 ;-;-;-;-;-;2,68 ;4,47 ;2,55 ;-
02/2006;7,82 ;-;-;-;-;-;2,63 ;4,45 ;2,54 ;-
03/2006;7,80 ;-;-;-;-;-;2,65 ;4,41 ;2,50 ;-
04/2006;7,77 ;-;-;-;-;-;2,60 ;4,28 ;2,47 ;-
05/2006;7,77 ;-;-;-;-;-;2,63 ;4,12 ;2,43 ;-
06/2006;7,76 ;-;-;-;-;-;2,58 ;4,11 ;2,42 ;-
07/2006;7,72 ;-;-;-;-;-;2,54 ;3,98 ;2,38 ;-
08/2006;7,70 ;-;-;-;-;-;2,53 ;3,95 ;2,40 ;-
09/2006;7,70 ;-;-;-;-;-;2,51 ;3,93 ;2,40 ;-
10/2006;7,67 ;-;-;-;-;-;2,49 ;3,92 ;2,40 ;-
11/2006;7,67 ;-;-;-;-;-;2,44 ;3,92 ;2,41 ;-
12/2006;7,64 ;-;-;-;-;-;2,42 ;3,84 ;2,36 ;-
01/2007;7,64 ;-;-;-;-;-;2,40 ;3,84 ;2,38 ;-
02/2007;7,61 ;-;-;-;-;-;2,37 ;3,69 ;2,34 ;-
03/2007;7,60 ;-;-;-;-;-;2,36 ;3,63 ;2,29 ;-
04/2007;7,60 ;-;-;-;-;-;2,35 ;3,58 ;2,24 ;-
05/2007;7,58 ;-;-;-;-;-;2,35 ;3,53 ;2,20 ;-
06/2007;7,56 ;-;-;-;-;-;2,31 ;3,50 ;2,17 ;-
07/2007;7,54 ;-;-;-;-;-;2,27 ;3,47 ;2,12 ;-
08/2007;7,55 ;-;-;-;-;-;2,27 ;3,43 ;2,12 ;-
09/2007;7,57 ;-;-;-;-;-;2,25 ;3,40 ;2,12 ;-
10/2007;7,53 ;-;-;-;-;-;2,20 ;3,37 ;2,11 ;-
11/2007;7,52 ;-;-;-;-;-;2,12 ;3,25 ;2,11 ;-
12/2007;7,50 ;-;-;-;-;-;2,09 ;3,19 ;2,13 ;-
01/2008;7,77 ;-;-;-;-;-;2,17 ;3,61 ;2,29 ;-
02/2008;7,79 ;-;-;-;-;-;2,13 ;3,58 ;2,29 ;-
03/2008;7,93 ;-;-;-;-;-;2,01 ;3,46 ;2,22 ;-
04/2008;8,03 ;-;-;-;-;-;2,01 ;3,47 ;2,20 ;-
05/2008;8,19 ;-;-;-;-;-;2,05 ;3,34 ;2,25 ;-
06/2008;8,26 ;-;-;-;-;-;2,06 ;3,52 ;2,28 ;-
07/2008;8,38 ;-;-;-;-;-;2,11 ;3,64 ;2,43 ;-
08/2008;8,51 ;-;-;-;-;-;2,12 ;3,69 ;2,43 ;-
09/2008;8,64 ;-;-;-;-;-;2,14 ;3,79 ;2,41 ;-
10/2008;8,64 ;-;-;-;-;-;2,20 ;3,85 ;2,48 ;-
11/2008;8,78 ;-;-;-;-;-;2,28 ;3,99 ;2,70 ;-
12/2008;8,79 ;-;-;-;-;-;2,26 ;4,02 ;2,63 ;-
01/2009;8,70 ;-;-;-;-;-;2,26 ;3,80 ;2,51 ;-
02/2009;8,52 ;-;-;-;-;-;2,16 ;3,69 ;2,32 ;-
03/2009;8,60 ;-;-;-;-;-;2,12 ;3,48 ;2,19 ;-
04/2009;8,50 ;-;-;-;-;-;2,14 ;3,37 ;2,20 ;-
05/2009;8,55 ;-;-;-;-;-;2,12 ;3,24 ;2,15 ;-
06/2009;8,53 ;-;-;-;-;-;2,07 ;3,18 ;2,00 ;-
